SKU,Nombre,Categoria,Precio,Stock,Material,Descripcion,Imagen 1,Imagen 2,Visible,Destacado,Oferta,Precio Oferta,,,,,,,,,,,,,,,,/
SOL-PUL-0001,pulseras pandora charms,pulseras,10000,3,Acero inoxidable,,SOL-PUL-0001-01.jpg,,1,0,0,5000,,,,,,,,,,,,,,,,
SOL-ARO-0001,aros Plateados acero inoxidable,aros,4500,3,Acero inoxidable,,,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-PUL-0002,pulseras lisas regulares tipo Pandora ,pulseras-para-charms,8000,3,Fantasía,,,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-ANI-0004,Anillos plateados de acero quirugico,anillos,5000,20,Acero inoxidable,,SOL-ANI-0004-01.jpg,,1,0,0,3000,,,,,,,,,,,,,,,,
SOL-CAD-0001,Cadenitas corazón dorada ,cadenas,10000,2,Acero inoxidable,,SOL-CAD-0002-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CAD-0002,Cadenitas sol acero dorado,cadenas,30000,3,Acero inoxidable,,SOL-CAD-0002-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-PUL-0003,pulseras Pandora con charms rígida ,pulseras,50000,2,Acero inoxidable,,,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CAD-0003,Cadenitas 11:11 dorada,cadenas,12000,0,Acero inoxidable,,,,0,0,0,10000,,,,,,,,,,,,,,,,
SOL-PUL-0004,pulserass cubic,pulseras,3000,2,Acero inoxidable,,,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0003,Charm spiderman miles Morales ,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0003-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0004,Charm hello kitty lila,charms,10000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0005,Charm olaf,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0005-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0006,Charm spider man,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0006-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0007,Charm corazón strass,charms,35000,0,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0007-01.jpg,,0,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0008,Charm gato alicia ,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0008-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0009,Charm perrito fantasma,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0009-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0010,Charm lumiere,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0010-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0011,Charm stitch rosa,charms,35000,0,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0011-01.jpg,,0,0,0,10000,,,,,,,,,,,,,,,,
SOL-CHA-0012,Charm alienígena toy story,charms,35000,1,Plata 925,"Charm de plata 925 de excelente calidad, compatible con pulseras Pandora y similares.",SOL-CHA-0012-01.jpg,,1,0,0,10000,,,,,,,,,,,,,,,,
